"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.387931034482759,"M1","AcousticIndices",19,12,0.23448386733786
"Accuracy1",0.396551724137931,"M1","AcousticIndices",16,12,0.226625829849366
"Accuracy2",0.375,"M1","AcousticIndices",19,12,0.220510562368868
"Accuracy3",0.396551724137931,"M1","AcousticIndices",19,12,0.223215271212667
"Accuracy4",0.426724137931034,"M1","AcousticIndices",18,12,0.234851629416619
"Accuracy5",0.379310344827586,"M1","AcousticIndices",19,12,0.225288214725962
"Accuracy6",0.357758620689655,"M1","AcousticIndices",19,12,0.22961393170691
"Accuracy7",0.396551724137931,"M1","AcousticIndices",21,12,0.23012723451378
"Accuracy8",0.331896551724138,"M1","AcousticIndices",16,12,0.223101485911529
"Accuracy9",0.375,"M1","AcousticIndices",18,12,0.230387265160318
"Accuracy10",0.396551724137931,"M1","AcousticIndices",18,12,0.230198153718089
"Accuracy11",0.349137931034483,"M1","AcousticIndices",17,12,0.218163470537779
"Accuracy12",0.379310344827586,"M1","AcousticIndices",20,12,0.218322091260776
"Accuracy13",0.353448275862069,"M1","AcousticIndices",18,12,0.22965477597702
"Accuracy14",0.349137931034483,"M1","AcousticIndices",18,12,0.23020134689341
"Accuracy15",0.370689655172414,"M1","AcousticIndices",18,12,0.232590694208529
"Accuracy16",0.405172413793103,"M1","AcousticIndices",18,12,0.229659489528117
"Accuracy17",0.426724137931034,"M1","AcousticIndices",19,12,0.217952759204981
"Accuracy18",0.362068965517241,"M1","AcousticIndices",17,12,0.229380475596423
"Accuracy19",0.375,"M1","AcousticIndices",16,12,0.231695424087223
"Accuracy20",0.330472103004292,"M2","AcousticIndices",18,12,0.224724478800893
"Accuracy21",0.32618025751073,"M2","AcousticIndices",20,12,0.217399081984773
"Accuracy22",0.291845493562232,"M2","AcousticIndices",17,12,0.210265259970851
"Accuracy23",0.416309012875536,"M2","AcousticIndices",18,12,0.209103042135508
"Accuracy24",0.334763948497854,"M2","AcousticIndices",17,12,0.215918511599862
"Accuracy25",0.386266094420601,"M2","AcousticIndices",18,12,0.207598754438762
"Accuracy26",0.330472103004292,"M2","AcousticIndices",18,12,0.215784951459633
"Accuracy27",0.381974248927039,"M2","AcousticIndices",18,12,0.209979710391245
"Accuracy28",0.317596566523605,"M2","AcousticIndices",19,12,0.223387530690823
"Accuracy29",0.347639484978541,"M2","AcousticIndices",17,12,0.21291868759006
"Accuracy30",0.360515021459227,"M2","AcousticIndices",16,12,0.21349358649409
"Accuracy31",0.360515021459227,"M2","AcousticIndices",15,12,0.216415871230276
"Accuracy32",0.394849785407725,"M2","AcousticIndices",20,12,0.206502948438585
"Accuracy33",0.309012875536481,"M2","AcousticIndices",17,12,0.20407376576045
"Accuracy34",0.373390557939914,"M2","AcousticIndices",19,12,0.2147962771329
"Accuracy35",0.369098712446352,"M2","AcousticIndices",19,12,0.205543980001204
"Accuracy36",0.356223175965665,"M2","AcousticIndices",16,12,0.226455322611552
"Accuracy37",0.339055793991416,"M2","AcousticIndices",19,12,0.213033017255262
"Accuracy38",0.347639484978541,"M2","AcousticIndices",18,12,0.212722011352471
"Accuracy39",0.390557939914163,"M2","AcousticIndices",17,12,0.209033159869774
