"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.987068965517241,"M1","BirdNet",18,12,0.452408304221468
"Accuracy1",0.982758620689655,"M1","BirdNet",14,12,0.478155063255175
"Accuracy2",0.974137931034483,"M1","BirdNet",14,12,0.432809833507989
"Accuracy3",0.969827586206897,"M1","BirdNet",15,12,0.439206377844367
"Accuracy4",0.991379310344828,"M1","BirdNet",17,12,0.450372863490776
"Accuracy5",0.987068965517241,"M1","BirdNet",17,12,0.430570942163281
"Accuracy6",0.982758620689655,"M1","BirdNet",17,12,0.456166409071815
"Accuracy7",0.974137931034483,"M1","BirdNet",15,12,0.482327098720998
"Accuracy8",0.969827586206897,"M1","BirdNet",14,12,0.463622076058705
"Accuracy9",0.991379310344828,"M1","BirdNet",18,12,0.462469149229943
"Accuracy10",0.987068965517241,"M1","BirdNet",15,12,0.449253798058359
"Accuracy11",0.995689655172414,"M1","BirdNet",15,12,0.493326959378266
"Accuracy12",0.982758620689655,"M1","BirdNet",15,12,0.456002799459053
"Accuracy13",0.96551724137931,"M1","BirdNet",16,12,0.453597679823878
"Accuracy14",0.982758620689655,"M1","BirdNet",17,12,0.453757376628147
"Accuracy15",0.987068965517241,"M1","BirdNet",15,12,0.449510799304211
"Accuracy16",0.978448275862069,"M1","BirdNet",16,12,0.434274564012817
"Accuracy17",0.974137931034483,"M1","BirdNet",15,12,0.444401830196577
"Accuracy18",0.991379310344828,"M1","BirdNet",14,12,0.479071960243963
"Accuracy19",0.974137931034483,"M1","BirdNet",15,12,0.489120503715011
"Accuracy20",0.952789699570815,"M2","BirdNet",13,12,0.40831497627352
"Accuracy21",0.96137339055794,"M2","BirdNet",13,12,0.373636642209608
"Accuracy22",0.957081545064378,"M2","BirdNet",15,12,0.380373177577344
"Accuracy23",0.96137339055794,"M2","BirdNet",12,12,0.360999574473368
"Accuracy24",0.965665236051502,"M2","BirdNet",15,12,0.377130397731774
"Accuracy25",0.974248927038627,"M2","BirdNet",16,12,0.387007307555114
"Accuracy26",0.982832618025751,"M2","BirdNet",13,12,0.375720094936416
"Accuracy27",0.96137339055794,"M2","BirdNet",12,12,0.356941720667532
"Accuracy28",0.978540772532189,"M2","BirdNet",16,12,0.36462556110916
"Accuracy29",0.978540772532189,"M2","BirdNet",15,12,0.368443140009114
"Accuracy30",0.974248927038627,"M2","BirdNet",15,12,0.341327348082566
"Accuracy31",0.974248927038627,"M2","BirdNet",13,12,0.384434040011279
"Accuracy32",0.952789699570815,"M2","BirdNet",15,12,0.366712575091243
"Accuracy33",0.974248927038627,"M2","BirdNet",13,12,0.392041906139175
"Accuracy34",0.96137339055794,"M2","BirdNet",15,12,0.377984667826219
"Accuracy35",0.969957081545064,"M2","BirdNet",14,12,0.373070640316624
"Accuracy36",0.969957081545064,"M2","BirdNet",16,12,0.360541072360906
"Accuracy37",0.952789699570815,"M2","BirdNet",13,12,0.402759627044181
"Accuracy38",0.96137339055794,"M2","BirdNet",16,12,0.387228676522924
"Accuracy39",0.96137339055794,"M2","BirdNet",13,12,0.397308619983729
"Accuracy40",0.854054054054054,"M3","BirdNet",11,12,0.127233898132058
