"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.939655172413793,"M1","MFCC",10,12,0.890744875168771
"Accuracy1",0.961206896551724,"M1","MFCC",13,12,0.883218383750269
"Accuracy2",0.952586206896552,"M1","MFCC",12,12,0.881983809991756
"Accuracy3",0.969827586206897,"M1","MFCC",13,12,0.888061048985928
"Accuracy4",0.961206896551724,"M1","MFCC",11,12,0.882540578961581
"Accuracy5",0.974137931034483,"M1","MFCC",11,12,0.874667209716391
"Accuracy6",0.956896551724138,"M1","MFCC",11,12,0.872734588320826
"Accuracy7",0.96551724137931,"M1","MFCC",12,12,0.882177966759632
"Accuracy8",0.987068965517241,"M1","MFCC",10,12,0.87048167187529
"Accuracy9",0.974137931034483,"M1","MFCC",13,12,0.88251491935244
"Accuracy10",0.987068965517241,"M1","MFCC",10,12,0.860995766735054
"Accuracy11",0.974137931034483,"M1","MFCC",12,12,0.875543024986747
"Accuracy12",0.974137931034483,"M1","MFCC",12,12,0.878823818254369
"Accuracy13",0.948275862068966,"M1","MFCC",12,12,0.880207555104332
"Accuracy14",0.978448275862069,"M1","MFCC",10,12,0.87594481378377
"Accuracy15",0.978448275862069,"M1","MFCC",13,12,0.879619723667919
"Accuracy16",0.978448275862069,"M1","MFCC",11,12,0.874534163844294
"Accuracy17",0.952586206896552,"M1","MFCC",12,12,0.8876972058968
"Accuracy18",0.974137931034483,"M1","MFCC",12,12,0.88348196661221
"Accuracy19",0.952586206896552,"M1","MFCC",11,12,0.869324149893694
"Accuracy20",0.901287553648069,"M2","MFCC",13,12,0.887605889938996
"Accuracy21",0.957081545064378,"M2","MFCC",11,12,0.858920310892701
"Accuracy22",0.939914163090129,"M2","MFCC",12,12,0.869714482815336
"Accuracy23",0.969957081545064,"M2","MFCC",13,12,0.867745132401858
"Accuracy24",0.965665236051502,"M2","MFCC",13,12,0.848768725603576
"Accuracy25",0.948497854077253,"M2","MFCC",13,12,0.847503378440885
"Accuracy26",0.965665236051502,"M2","MFCC",14,12,0.845678742749517
"Accuracy27",0.939914163090129,"M2","MFCC",14,12,0.876141214668893
"Accuracy28",0.974248927038627,"M2","MFCC",12,12,0.860830881387301
"Accuracy29",0.957081545064378,"M2","MFCC",11,12,0.85265020167474
"Accuracy30",0.969957081545064,"M2","MFCC",13,12,0.869378747996252
"Accuracy31",0.978540772532189,"M2","MFCC",13,12,0.866788531468467
"Accuracy32",0.952789699570815,"M2","MFCC",10,12,0.851201988836758
"Accuracy33",0.969957081545064,"M2","MFCC",11,12,0.838172258793651
"Accuracy34",0.957081545064378,"M2","MFCC",13,12,0.882491280142814
"Accuracy35",0.939914163090129,"M2","MFCC",13,12,0.856498035798311
"Accuracy36",0.957081545064378,"M2","MFCC",11,12,0.857289252134398
"Accuracy37",0.939914163090129,"M2","MFCC",12,12,0.870558837232982
"Accuracy38",0.952789699570815,"M2","MFCC",14,12,0.840387668337852
"Accuracy39",0.957081545064378,"M2","MFCC",13,12,0.854248999852955
"Accuracy40",0.870689655172414,"M3","MFCC",18,12,0.635894537856435
"Accuracy41",0.866379310344828,"M3","MFCC",16,12,0.646845519081634
"Accuracy42",0.866379310344828,"M3","MFCC",17,12,0.618703028261215
"Accuracy43",0.870689655172414,"M3","MFCC",17,12,0.629437608823933
"Accuracy44",0.931034482758621,"M3","MFCC",15,12,0.64118051140169
"Accuracy45",0.879310344827586,"M3","MFCC",16,12,0.632719898433876
"Accuracy46",0.887931034482759,"M3","MFCC",17,12,0.608645698058343
"Accuracy47",0.905172413793103,"M3","MFCC",16,12,0.645285579895744
"Accuracy48",0.905172413793103,"M3","MFCC",15,12,0.650622260317257
"Accuracy49",0.883620689655172,"M3","MFCC",18,12,0.588018909122183
"Accuracy50",0.918103448275862,"M3","MFCC",16,12,0.640819767927032
"Accuracy51",0.866379310344828,"M3","MFCC",13,12,0.647309304697903
"Accuracy52",0.879310344827586,"M3","MFCC",19,12,0.613038871070498
"Accuracy53",0.887931034482759,"M3","MFCC",18,12,0.590956362692921
"Accuracy54",0.870689655172414,"M3","MFCC",17,12,0.633695064375036
"Accuracy55",0.883620689655172,"M3","MFCC",17,12,0.648957349209366
"Accuracy56",0.896551724137931,"M3","MFCC",17,12,0.649513598284502
"Accuracy57",0.883620689655172,"M3","MFCC",16,12,0.637843902120471
"Accuracy58",0.870689655172414,"M3","MFCC",17,12,0.624358116302336
"Accuracy59",0.853448275862069,"M3","MFCC",15,12,0.64713431134752
"Accuracy60",0.759656652360515,"M4","MFCC",22,12,0.427873675308114
"Accuracy61",0.815450643776824,"M4","MFCC",22,12,0.430675468179169
"Accuracy62",0.789699570815451,"M4","MFCC",22,12,0.4049117220761
"Accuracy63",0.828326180257511,"M4","MFCC",21,12,0.406682599694751
"Accuracy64",0.811158798283262,"M4","MFCC",23,12,0.416328253629741
"Accuracy65",0.854077253218884,"M4","MFCC",19,12,0.384473142102751
"Accuracy66",0.828326180257511,"M4","MFCC",22,12,0.414218091822676
"Accuracy67",0.781115879828326,"M4","MFCC",21,12,0.411301178484697
"Accuracy68",0.824034334763948,"M4","MFCC",21,12,0.405762855110196
"Accuracy69",0.828326180257511,"M4","MFCC",21,12,0.411381689195722
"Accuracy70",0.854077253218884,"M4","MFCC",22,12,0.407536521300673
"Accuracy71",0.785407725321888,"M4","MFCC",25,12,0.398180808444338
"Accuracy72",0.772532188841202,"M4","MFCC",21,12,0.395436790160667
"Accuracy73",0.824034334763948,"M4","MFCC",22,12,0.407856177393462
"Accuracy74",0.776824034334764,"M4","MFCC",21,12,0.402649786341563
"Accuracy75",0.815450643776824,"M4","MFCC",22,12,0.408740253883216
"Accuracy76",0.763948497854077,"M4","MFCC",22,12,0.399076734478137
"Accuracy77",0.789699570815451,"M4","MFCC",21,12,0.41029899690416
"Accuracy78",0.819742489270386,"M4","MFCC",22,12,0.385366046993781
"Accuracy79",0.8068669527897,"M4","MFCC",22,12,0.406453924708355
"Accuracy80",0.587982832618026,"M5","MFCC",19,12,0.132515131301751
"Accuracy81",0.562231759656652,"M5","MFCC",18,12,0.138767160086147
"Accuracy82",0.553648068669528,"M5","MFCC",17,12,0.13177107130396
"Accuracy83",0.536480686695279,"M5","MFCC",19,12,0.128408663715542
"Accuracy84",0.515021459227468,"M5","MFCC",18,12,0.116929589936817
"Accuracy85",0.587982832618026,"M5","MFCC",20,12,0.130700123663144
"Accuracy86",0.549356223175966,"M5","MFCC",21,12,0.136540252969973
"Accuracy87",0.502145922746781,"M5","MFCC",20,12,0.138981120366331
"Accuracy88",0.592274678111588,"M5","MFCC",19,12,0.133145473350005
"Accuracy89",0.575107296137339,"M5","MFCC",19,12,0.136307757408599
"Accuracy90",0.583690987124464,"M5","MFCC",18,12,0.121314654892536
"Accuracy91",0.502145922746781,"M5","MFCC",18,12,0.151613779264176
"Accuracy92",0.51931330472103,"M5","MFCC",21,12,0.14363238181082
"Accuracy93",0.51931330472103,"M5","MFCC",22,12,0.147903025418562
"Accuracy94",0.583690987124464,"M5","MFCC",21,12,0.156938024882732
"Accuracy95",0.566523605150215,"M5","MFCC",17,12,0.115901051061141
"Accuracy96",0.575107296137339,"M5","MFCC",19,12,0.130871776437765
"Accuracy97",0.527896995708155,"M5","MFCC",18,12,0.137081051523091
"Accuracy98",0.532188841201717,"M5","MFCC",17,12,0.128941081520151
"Accuracy99",0.515021459227468,"M5","MFCC",17,12,0.121360342806085
"Accuracy100",0.502145922746781,"M6","MFCC",19,12,0.107544436499047
"Accuracy101",0.493562231759657,"M6","MFCC",18,12,0.112312468940198
"Accuracy102",0.459227467811159,"M6","MFCC",21,12,0.134331291861934
"Accuracy103",0.420600858369099,"M6","MFCC",22,12,0.135722043837149
"Accuracy104",0.454935622317597,"M6","MFCC",22,12,0.132968919332273
"Accuracy105",0.44206008583691,"M6","MFCC",21,12,0.135035176517012
"Accuracy106",0.467811158798283,"M6","MFCC",19,12,0.129759229264936
"Accuracy107",0.44206008583691,"M6","MFCC",19,12,0.114580143674563
"Accuracy108",0.467811158798283,"M6","MFCC",19,12,0.1143257175545
"Accuracy109",0.515021459227468,"M6","MFCC",21,12,0.133037620726336
"Accuracy110",0.510729613733906,"M6","MFCC",23,12,0.126711679217081
"Accuracy111",0.467811158798283,"M6","MFCC",21,12,0.125376709516355
"Accuracy112",0.433476394849785,"M6","MFCC",20,12,0.116435714079473
"Accuracy113",0.476394849785408,"M6","MFCC",20,12,0.11416111223566
"Accuracy114",0.489270386266094,"M6","MFCC",18,12,0.109483328618925
"Accuracy115",0.536480686695279,"M6","MFCC",22,12,0.129524245572968
"Accuracy116",0.459227467811159,"M6","MFCC",18,12,0.115591246717162
"Accuracy117",0.493562231759657,"M6","MFCC",22,12,0.114809811732828
