"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.745689655172414,"M1","VGGish",21,12,0.237857615219077
"Accuracy1",0.75,"M1","VGGish",21,12,0.246559582234846
"Accuracy2",0.693965517241379,"M1","VGGish",20,12,0.236097415921316
"Accuracy3",0.767241379310345,"M1","VGGish",20,12,0.208163418108923
"Accuracy4",0.71551724137931,"M1","VGGish",23,12,0.255817250375424
"Accuracy5",0.737068965517241,"M1","VGGish",20,12,0.225088372129165
"Accuracy6",0.767241379310345,"M1","VGGish",20,12,0.226810492763654
"Accuracy7",0.745689655172414,"M1","VGGish",21,12,0.256182268963166
"Accuracy8",0.728448275862069,"M1","VGGish",20,12,0.231022828656162
"Accuracy9",0.758620689655172,"M1","VGGish",20,12,0.233297778977254
"Accuracy10",0.801724137931034,"M1","VGGish",19,12,0.199652473414923
"Accuracy11",0.754310344827586,"M1","VGGish",18,12,0.214333274201916
"Accuracy12",0.741379310344828,"M1","VGGish",20,12,0.224925884229753
"Accuracy13",0.698275862068966,"M1","VGGish",21,12,0.236265756955011
"Accuracy14",0.737068965517241,"M1","VGGish",19,12,0.225632618129032
"Accuracy15",0.698275862068966,"M1","VGGish",20,12,0.226524723897564
"Accuracy16",0.780172413793103,"M1","VGGish",19,12,0.212786369348482
"Accuracy17",0.693965517241379,"M1","VGGish",20,12,0.251653800879008
"Accuracy18",0.775862068965517,"M1","VGGish",21,12,0.241307775387185
"Accuracy19",0.728448275862069,"M1","VGGish",21,12,0.21212031164104
"Accuracy20",0.75107296137339,"M2","VGGish",18,12,0.215716587783478
"Accuracy21",0.76824034334764,"M2","VGGish",18,12,0.211361992596947
"Accuracy22",0.742489270386266,"M2","VGGish",17,12,0.213382628555298
"Accuracy23",0.772532188841202,"M2","VGGish",18,12,0.199932306623031
"Accuracy24",0.76824034334764,"M2","VGGish",17,12,0.183033248719985
"Accuracy25",0.772532188841202,"M2","VGGish",19,12,0.20816536233642
"Accuracy26",0.789699570815451,"M2","VGGish",16,12,0.182868291152646
"Accuracy27",0.729613733905579,"M2","VGGish",16,12,0.217172623994052
"Accuracy28",0.8068669527897,"M2","VGGish",17,12,0.216152848351729
"Accuracy29",0.746781115879828,"M2","VGGish",18,12,0.224955685568248
"Accuracy30",0.776824034334764,"M2","VGGish",19,12,0.204506692585049
"Accuracy31",0.785407725321888,"M2","VGGish",19,12,0.199703274250306
"Accuracy32",0.716738197424893,"M2","VGGish",17,12,0.198078277730907
"Accuracy33",0.75107296137339,"M2","VGGish",17,12,0.189017204428858
"Accuracy34",0.776824034334764,"M2","VGGish",18,12,0.197135240334651
"Accuracy35",0.742489270386266,"M2","VGGish",18,12,0.18929924065673
"Accuracy36",0.776824034334764,"M2","VGGish",17,12,0.218363634516151
"Accuracy37",0.763948497854077,"M2","VGGish",18,12,0.217188193544696
"Accuracy38",0.802575107296137,"M2","VGGish",17,12,0.213433101011112
"Accuracy39",0.755364806866953,"M2","VGGish",16,12,0.206322658140703
"Accuracy40",0.46551724137931,"M3","VGGish",15,12,0.0658635774473594
"Accuracy41",0.521551724137931,"M3","VGGish",16,12,0.0624116893022196
"Accuracy42",0.46551724137931,"M3","VGGish",15,12,0.0681718329056318
"Accuracy43",0.469827586206897,"M3","VGGish",15,12,0.0783063008707712
"Accuracy44",0.469827586206897,"M3","VGGish",17,12,0.0785883226792906
"Accuracy45",0.538793103448276,"M3","VGGish",16,12,0.0784128676777877
"Accuracy46",0.560344827586207,"M3","VGGish",15,12,0.0691692492260839
"Accuracy47",0.5,"M3","VGGish",15,12,0.0601910412420656
"Accuracy48",0.512931034482759,"M3","VGGish",15,12,0.0662795507010714
"Accuracy49",0.469827586206897,"M3","VGGish",13,12,0.0566558025766124
"Accuracy50",0.547413793103448,"M3","VGGish",13,12,0.0466578310959986
"Accuracy51",0.474137931034483,"M3","VGGish",14,12,0.0525642334104108
"Accuracy52",0.491379310344828,"M3","VGGish",15,12,0.0915125214776986
"Accuracy53",0.469827586206897,"M3","VGGish",15,12,0.0772545558510488
"Accuracy54",0.431034482758621,"M3","VGGish",13,12,0.0643611080687602
"Accuracy55",0.469827586206897,"M3","VGGish",16,12,0.0825345248876181
"Accuracy56",0.422413793103448,"M3","VGGish",14,12,0.0594010721196181
"Accuracy57",0.474137931034483,"M3","VGGish",16,12,0.0794170707817703
"Accuracy58",0.478448275862069,"M3","VGGish",15,12,0.0709667708062766
"Accuracy59",0.452586206896552,"M3","VGGish",14,12,0.0635188032597774
"Accuracy60",0.44206008583691,"M4","VGGish",13,12,0.0617723596656683
"Accuracy61",0.510729613733906,"M4","VGGish",14,12,0.0532018595494415
"Accuracy62",0.407725321888412,"M4","VGGish",17,12,0.0794930747953065
"Accuracy63",0.497854077253219,"M4","VGGish",13,12,0.0576481070106502
"Accuracy64",0.484978540772532,"M4","VGGish",15,12,0.0737888290024544
"Accuracy65",0.510729613733906,"M4","VGGish",14,12,0.0634659551015107
"Accuracy66",0.48068669527897,"M4","VGGish",13,12,0.0516960026350965
"Accuracy67",0.523605150214592,"M4","VGGish",13,12,0.0571023056999304
"Accuracy68",0.459227467811159,"M4","VGGish",14,12,0.0628469663900277
"Accuracy69",0.502145922746781,"M4","VGGish",15,12,0.0719308244469872
"Accuracy70",0.562231759656652,"M4","VGGish",14,12,0.0674531256827623
"Accuracy71",0.399141630901288,"M4","VGGish",14,12,0.073217311662724
"Accuracy72",0.493562231759657,"M4","VGGish",14,12,0.0562674545922063
"Accuracy73",0.446351931330472,"M4","VGGish",17,12,0.0866758313352128
"Accuracy74",0.476394849785408,"M4","VGGish",16,12,0.0762607258211957
"Accuracy75",0.493562231759657,"M4","VGGish",16,12,0.0727138133812523
"Accuracy76",0.476394849785408,"M4","VGGish",13,12,0.0558181937790701
"Accuracy77",0.424892703862661,"M4","VGGish",12,12,0.0510990666707475
"Accuracy78",0.454935622317597,"M4","VGGish",14,12,0.0700591832485439
"Accuracy79",0.44206008583691,"M4","VGGish",15,12,0.0611272460206561
"Accuracy80",0.347639484978541,"M5","VGGish",14,12,0.03442590019915
"Accuracy81",0.321888412017167,"M5","VGGish",19,12,0.0631676494790353
"Accuracy82",0.266094420600858,"M5","VGGish",17,12,0.0650056732256948
"Accuracy83",0.313304721030043,"M5","VGGish",19,12,0.0730661912197372
"Accuracy84",0.274678111587983,"M5","VGGish",20,12,0.0806563919902276
"Accuracy85",0.266094420600858,"M5","VGGish",18,12,0.0526405970880165
"Accuracy86",0.304721030042918,"M5","VGGish",18,12,0.0604702818983038
"Accuracy87",0.309012875536481,"M5","VGGish",18,12,0.0717306947272121
"Accuracy88",0.339055793991416,"M5","VGGish",18,12,0.0657076235195647
"Accuracy89",0.313304721030043,"M5","VGGish",17,12,0.0519260773727081
"Accuracy90",0.330472103004292,"M5","VGGish",17,12,0.0600298786858868
"Accuracy91",0.32618025751073,"M5","VGGish",20,12,0.059715765954799
"Accuracy92",0.296137339055794,"M5","VGGish",17,12,0.0509288779010165
"Accuracy93",0.300429184549356,"M5","VGGish",18,12,0.0571644394363301
"Accuracy94",0.300429184549356,"M5","VGGish",16,12,0.0479714353879484
"Accuracy95",0.28755364806867,"M5","VGGish",18,12,0.0635023496044681
"Accuracy96",0.278969957081545,"M5","VGGish",18,12,0.0740330845252397
"Accuracy97",0.28755364806867,"M5","VGGish",18,12,0.057737661726874
"Accuracy98",0.296137339055794,"M5","VGGish",17,12,0.068222775709167
"Accuracy99",0.257510729613734,"M5","VGGish",19,12,0.064608349250732
"Accuracy100",0.369098712446352,"M6","VGGish",14,12,0.0507153577027562
"Accuracy101",0.309012875536481,"M6","VGGish",14,12,0.0512018042467611
"Accuracy102",0.356223175965665,"M6","VGGish",14,12,0.052589346246985
"Accuracy103",0.28755364806867,"M6","VGGish",16,12,0.0721711601588899
"Accuracy104",0.304721030042918,"M6","VGGish",14,12,0.0590958672571903
"Accuracy105",0.313304721030043,"M6","VGGish",13,12,0.0570649105283199
"Accuracy106",0.313304721030043,"M6","VGGish",13,12,0.0354592440677104
"Accuracy107",0.317596566523605,"M6","VGGish",14,12,0.0527879868713067
"Accuracy108",0.347639484978541,"M6","VGGish",16,12,0.0628421197544528
"Accuracy109",0.313304721030043,"M6","VGGish",15,12,0.0665677012164755
"Accuracy110",0.300429184549356,"M6","VGGish",14,12,0.0578115350570317
"Accuracy111",0.347639484978541,"M6","VGGish",13,12,0.0544730958769164
"Accuracy112",0.304721030042918,"M6","VGGish",16,12,0.0642204165235473
"Accuracy113",0.373390557939914,"M6","VGGish",13,12,0.0578030115857829
"Accuracy114",0.28755364806867,"M6","VGGish",13,12,0.053226167329199
"Accuracy115",0.313304721030043,"M6","VGGish",15,12,0.0631673152439042
"Accuracy116",0.343347639484979,"M6","VGGish",15,12,0.059672549214505
"Accuracy117",0.32618025751073,"M6","VGGish",17,12,0.0675724974501306
"Accuracy118",0.321888412017167,"M6","VGGish",13,12,0.051274789934251
"Accuracy119",0.300429184549356,"M6","VGGish",14,12,0.0576052004783395
"Accuracy120",0.310810810810811,"M7","VGGish",16,12,0.0724097021396674
"Accuracy121",0.27027027027027,"M7","VGGish",14,12,0.0470408004720015
"Accuracy122",0.301801801801802,"M7","VGGish",16,12,0.0717919465562805
"Accuracy123",0.292792792792793,"M7","VGGish",15,12,0.0518581814417067
"Accuracy124",0.315315315315315,"M7","VGGish",15,12,0.0525381923062793
"Accuracy125",0.216216216216216,"M7","VGGish",14,12,0.0548580078920276
"Accuracy126",0.328828828828829,"M7","VGGish",16,12,0.0634323594274837
"Accuracy127",0.288288288288288,"M7","VGGish",16,12,0.0712094277862486
"Accuracy128",0.324324324324324,"M7","VGGish",14,12,0.0578789701910856
"Accuracy129",0.306306306306306,"M7","VGGish",15,12,0.0471967817950291
"Accuracy130",0.301801801801802,"M7","VGGish",14,12,0.0455510412779861
"Accuracy131",0.297297297297297,"M7","VGGish",16,12,0.0685893135400776
"Accuracy132",0.324324324324324,"M7","VGGish",14,12,0.0488008104390109
"Accuracy133",0.342342342342342,"M7","VGGish",16,12,0.0558317386270108
"Accuracy134",0.297297297297297,"M7","VGGish",15,12,0.0713576811079818
"Accuracy135",0.306306306306306,"M7","VGGish",17,12,0.0709548528605287
"Accuracy136",0.310810810810811,"M7","VGGish",14,12,0.0605658580018623
"Accuracy137",0.301801801801802,"M7","VGGish",18,12,0.0723217602967084
"Accuracy138",0.328828828828829,"M7","VGGish",15,12,0.0635440497688214
"Accuracy139",0.279279279279279,"M7","VGGish",14,12,0.0525765793823098
