"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.491379310344828,"M1","wav2vec2",10,12,0.469662626632897
"Accuracy1",0.508620689655172,"M1","wav2vec2",10,12,0.47534066687033
"Accuracy2",0.487068965517241,"M1","wav2vec2",10,12,0.464191015530301
"Accuracy3",0.512931034482759,"M1","wav2vec2",10,12,0.468619403567249
"Accuracy4",0.517241379310345,"M1","wav2vec2",10,12,0.465996062945953
"Accuracy5",0.530172413793103,"M1","wav2vec2",10,12,0.468212201707303
"Accuracy6",0.517241379310345,"M1","wav2vec2",10,12,0.468658559825653
"Accuracy7",0.547413793103448,"M1","wav2vec2",10,12,0.467062758210416
"Accuracy8",0.538793103448276,"M1","wav2vec2",10,12,0.465343123742298
"Accuracy9",0.547413793103448,"M1","wav2vec2",10,12,0.460399436435884
"Accuracy10",0.551724137931034,"M1","wav2vec2",10,12,0.472322320097033
"Accuracy11",0.573275862068966,"M1","wav2vec2",10,12,0.464255172709645
"Accuracy12",0.469827586206897,"M1","wav2vec2",9,12,0.465835848634952
"Accuracy13",0.482758620689655,"M1","wav2vec2",9,12,0.46216222090192
"Accuracy14",0.517241379310345,"M1","wav2vec2",9,12,0.461361643583424
"Accuracy15",0.560344827586207,"M1","wav2vec2",10,12,0.465219555375324
"Accuracy16",0.53448275862069,"M1","wav2vec2",10,12,0.467245546309657
"Accuracy17",0.521551724137931,"M1","wav2vec2",10,12,0.469573366752867
"Accuracy18",0.556034482758621,"M1","wav2vec2",10,12,0.461465090895778
"Accuracy19",0.521551724137931,"M1","wav2vec2",10,12,0.465988774008087
"Accuracy20",0.489270386266094,"M2","wav2vec2",10,12,0.473319414402923
"Accuracy21",0.476394849785408,"M2","wav2vec2",10,12,0.474829597796898
"Accuracy22",0.506437768240343,"M2","wav2vec2",10,12,0.475407420981129
"Accuracy23",0.502145922746781,"M2","wav2vec2",10,12,0.46918099331055
"Accuracy24",0.579399141630901,"M2","wav2vec2",9,12,0.448800325577085
"Accuracy25",0.536480686695279,"M2","wav2vec2",10,12,0.470930600193828
"Accuracy26",0.51931330472103,"M2","wav2vec2",10,12,0.465837376188172
"Accuracy27",0.506437768240343,"M2","wav2vec2",10,12,0.469671723534412
"Accuracy28",0.566523605150215,"M2","wav2vec2",10,12,0.464392412668407
"Accuracy29",0.532188841201717,"M2","wav2vec2",10,12,0.465701140991305
"Accuracy30",0.55793991416309,"M2","wav2vec2",9,12,0.453496103129169
"Accuracy31",0.527896995708155,"M2","wav2vec2",10,12,0.465960791307679
"Accuracy32",0.55793991416309,"M2","wav2vec2",8,12,0.444776037005846
"Accuracy33",0.467811158798283,"M2","wav2vec2",10,12,0.47395249976496
"Accuracy34",0.566523605150215,"M2","wav2vec2",10,12,0.464878505535775
"Accuracy35",0.527896995708155,"M2","wav2vec2",8,12,0.447146878647155
"Accuracy36",0.536480686695279,"M2","wav2vec2",9,12,0.456082179301322
"Accuracy37",0.51931330472103,"M2","wav2vec2",10,12,0.471465819226943
"Accuracy38",0.545064377682403,"M2","wav2vec2",10,12,0.465318247327233
"Accuracy39",0.527896995708155,"M2","wav2vec2",10,12,0.467595562924111
"Accuracy40",0.392241379310345,"M3","wav2vec2",9,12,0.459733101641045
"Accuracy41",0.379310344827586,"M3","wav2vec2",9,12,0.466007490993243
"Accuracy42",0.443965517241379,"M3","wav2vec2",9,12,0.454915438784732
"Accuracy43",0.439655172413793,"M3","wav2vec2",10,12,0.468619403567249
"Accuracy44",0.418103448275862,"M3","wav2vec2",8,12,0.443459350942216
"Accuracy45",0.448275862068966,"M3","wav2vec2",9,12,0.457729933947309
"Accuracy46",0.392241379310345,"M3","wav2vec2",8,12,0.447922130879223
"Accuracy47",0.46551724137931,"M3","wav2vec2",9,12,0.457193242762177
"Accuracy48",0.461206896551724,"M3","wav2vec2",8,12,0.441907025557672
"Accuracy49",0.482758620689655,"M3","wav2vec2",9,12,0.450791634721997
"Accuracy50",0.400862068965517,"M3","wav2vec2",9,12,0.46211245495156
"Accuracy51",0.405172413793103,"M3","wav2vec2",10,12,0.464255172709645
"Accuracy52",0.336206896551724,"M3","wav2vec2",9,12,0.465835848634952
"Accuracy53",0.375,"M3","wav2vec2",8,12,0.455866410565398
"Accuracy54",0.40948275862069,"M3","wav2vec2",10,12,0.469486027870969
"Accuracy55",0.413793103448276,"M3","wav2vec2",9,12,0.455890858725084
"Accuracy56",0.413793103448276,"M3","wav2vec2",9,12,0.459123263138015
"Accuracy57",0.396551724137931,"M3","wav2vec2",9,12,0.459697741889925
"Accuracy58",0.469827586206897,"M3","wav2vec2",10,12,0.461465090895778
"Accuracy59",0.422413793103448,"M3","wav2vec2",9,12,0.456724101424207
"Accuracy60",0.429184549356223,"M4","wav2vec2",9,12,0.466066267337664
"Accuracy61",0.420600858369099,"M4","wav2vec2",10,12,0.474829597796898
