"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.387931034482759,"M1","AcousticIndices",4,12,0.145997316070095
"Accuracy1",0.396551724137931,"M1","AcousticIndices",5,12,0.180622305488198
"Accuracy2",0.375,"M1","AcousticIndices",4,12,0.142614448676731
"Accuracy3",0.396551724137931,"M1","AcousticIndices",3,12,0.112012835016888
"Accuracy4",0.426724137931034,"M1","AcousticIndices",3,12,0.11586246491319
"Accuracy5",0.379310344827586,"M1","AcousticIndices",8,12,0.197309554539481
"Accuracy6",0.357758620689655,"M1","AcousticIndices",3,12,0.111500259981305
"Accuracy7",0.396551724137931,"M1","AcousticIndices",3,12,0.113885081236056
"Accuracy8",0.331896551724138,"M1","AcousticIndices",5,12,0.169280827388088
"Accuracy9",0.375,"M1","AcousticIndices",3,12,0.111623827992236
"Accuracy10",0.396551724137931,"M1","AcousticIndices",3,12,0.116674408605192
"Accuracy11",0.349137931034483,"M1","AcousticIndices",3,12,0.113560010895295
"Accuracy12",0.379310344827586,"M1","AcousticIndices",3,12,0.113069889679229
"Accuracy13",0.353448275862069,"M1","AcousticIndices",3,12,0.109731612447405
"Accuracy14",0.349137931034483,"M1","AcousticIndices",4,12,0.149460442618107
"Accuracy15",0.370689655172414,"M1","AcousticIndices",5,12,0.157783043793359
"Accuracy16",0.405172413793103,"M1","AcousticIndices",4,12,0.144470744746074
"Accuracy17",0.426724137931034,"M1","AcousticIndices",6,12,0.152942329211298
"Accuracy18",0.362068965517241,"M1","AcousticIndices",4,12,0.146324424868186
"Accuracy19",0.375,"M1","AcousticIndices",8,12,0.190125164854856
"Accuracy20",0.330472103004292,"M2","AcousticIndices",3,12,0.121102503897634
"Accuracy21",0.32618025751073,"M2","AcousticIndices",3,12,0.118225259348491
"Accuracy22",0.291845493562232,"M2","AcousticIndices",3,12,0.116312587279042
"Accuracy23",0.416309012875536,"M2","AcousticIndices",3,12,0.11376871783762
"Accuracy24",0.334763948497854,"M2","AcousticIndices",3,12,0.110422182162999
"Accuracy25",0.386266094420601,"M2","AcousticIndices",3,12,0.112407797296236
"Accuracy26",0.330472103004292,"M2","AcousticIndices",3,12,0.111670800820856
"Accuracy27",0.381974248927039,"M2","AcousticIndices",3,12,0.11559027749416
"Accuracy28",0.317596566523605,"M2","AcousticIndices",4,12,0.137214720317491
"Accuracy29",0.347639484978541,"M2","AcousticIndices",3,12,0.114655431721786
"Accuracy30",0.360515021459227,"M2","AcousticIndices",3,12,0.115074958122795
"Accuracy31",0.360515021459227,"M2","AcousticIndices",12,12,0.202396718651294
"Accuracy32",0.394849785407725,"M2","AcousticIndices",3,12,0.107910275318143
"Accuracy33",0.309012875536481,"M2","AcousticIndices",3,12,0.117342615062244
"Accuracy34",0.373390557939914,"M2","AcousticIndices",3,12,0.112338056391602
"Accuracy35",0.369098712446352,"M2","AcousticIndices",3,12,0.112099079810142
"Accuracy36",0.356223175965665,"M2","AcousticIndices",4,12,0.133383906739055
"Accuracy37",0.339055793991416,"M2","AcousticIndices",3,12,0.118615994825838
"Accuracy38",0.347639484978541,"M2","AcousticIndices",12,12,0.174229583179531
"Accuracy39",0.390557939914163,"M2","AcousticIndices",3,12,0.109589602917417
"Accuracy40",0.219827586206897,"M3","AcousticIndices",3,12,0.11575707954035
"Accuracy41",0.254310344827586,"M3","AcousticIndices",4,12,0.122746537895807
"Accuracy42",0.237068965517241,"M3","AcousticIndices",3,12,0.112251394056044
"Accuracy43",0.254310344827586,"M3","AcousticIndices",3,12,0.112012835016888
"Accuracy44",0.262931034482759,"M3","AcousticIndices",3,12,0.11586246491319
"Accuracy45",0.267241379310345,"M3","AcousticIndices",5,12,0.115924440509108
"Accuracy46",0.245689655172414,"M3","AcousticIndices",3,12,0.111500259981305
"Accuracy47",0.232758620689655,"M3","AcousticIndices",3,12,0.113885081236056
"Accuracy48",0.25,"M3","AcousticIndices",3,12,0.110969256873657
"Accuracy49",0.245689655172414,"M3","AcousticIndices",3,12,0.111623827992236
"Accuracy50",0.232758620689655,"M3","AcousticIndices",3,12,0.116674408605192
"Accuracy51",0.293103448275862,"M3","AcousticIndices",3,12,0.113560010895295
"Accuracy52",0.237068965517241,"M3","AcousticIndices",3,12,0.113069889679229
"Accuracy53",0.297413793103448,"M3","AcousticIndices",3,12,0.109731612447405
"Accuracy54",0.267241379310345,"M3","AcousticIndices",3,12,0.113484218398298
"Accuracy55",0.232758620689655,"M3","AcousticIndices",5,12,0.119296057587221
"Accuracy56",0.245689655172414,"M3","AcousticIndices",10,12,0.173368077784616
"Accuracy57",0.267241379310345,"M3","AcousticIndices",3,12,0.110414802634993
"Accuracy58",0.293103448275862,"M3","AcousticIndices",3,12,0.108876581528579
"Accuracy59",0.293103448275862,"M3","AcousticIndices",3,12,0.111606671562521
"Accuracy60",0.206008583690987,"M4","AcousticIndices",3,12,0.121102503897634
"Accuracy61",0.261802575107296,"M4","AcousticIndices",3,12,0.118225259348491
"Accuracy62",0.266094420600858,"M4","AcousticIndices",3,12,0.116312587279042
"Accuracy63",0.197424892703863,"M4","AcousticIndices",9,12,0.15085612460378
"Accuracy64",0.236051502145923,"M4","AcousticIndices",3,12,0.110422182162999
"Accuracy65",0.253218884120172,"M4","AcousticIndices",3,12,0.112407797296236
"Accuracy66",0.278969957081545,"M4","AcousticIndices",3,12,0.111670800820856
"Accuracy67",0.283261802575107,"M4","AcousticIndices",3,12,0.11559027749416
"Accuracy68",0.206008583690987,"M4","AcousticIndices",3,12,0.117543750131192
"Accuracy69",0.184549356223176,"M4","AcousticIndices",3,12,0.114655431721786
"Accuracy70",0.244635193133047,"M4","AcousticIndices",3,12,0.115074958122795
"Accuracy71",0.236051502145923,"M4","AcousticIndices",4,12,0.116030813522659
"Accuracy72",0.261802575107296,"M4","AcousticIndices",3,12,0.107910275318143
"Accuracy73",0.240343347639485,"M4","AcousticIndices",3,12,0.117342615062244
"Accuracy74",0.261802575107296,"M4","AcousticIndices",3,12,0.112338056391602
"Accuracy75",0.236051502145923,"M4","AcousticIndices",3,12,0.112099079810142
"Accuracy76",0.240343347639485,"M4","AcousticIndices",3,12,0.11680408904085
"Accuracy77",0.253218884120172,"M4","AcousticIndices",5,12,0.135208033972528
"Accuracy78",0.248927038626609,"M4","AcousticIndices",3,12,0.113804541098802
"Accuracy79",0.197424892703863,"M4","AcousticIndices",4,12,0.114598705573087
"Accuracy80",0.206008583690987,"M5","AcousticIndices",3,12,0.116718864101786
"Accuracy81",0.171673819742489,"M5","AcousticIndices",3,12,0.113561855084547
"Accuracy82",0.206008583690987,"M5","AcousticIndices",11,12,0.135416543649499
"Accuracy83",0.244635193133047,"M5","AcousticIndices",3,12,0.11370998898472
"Accuracy84",0.1931330472103,"M5","AcousticIndices",3,12,0.109569014600331
