"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.987068965517241,"M1","BirdNet",6,12,0.163590517061159
"Accuracy1",0.982758620689655,"M1","BirdNet",11,12,0.424961427960138
"Accuracy2",0.974137931034483,"M1","BirdNet",6,12,0.161622508659125
"Accuracy3",0.969827586206897,"M1","BirdNet",14,12,0.406315352365075
"Accuracy4",0.991379310344828,"M1","BirdNet",12,12,0.399524022438669
"Accuracy5",0.987068965517241,"M1","BirdNet",12,12,0.383024696770696
"Accuracy6",0.982758620689655,"M1","BirdNet",12,12,0.422480204410639
"Accuracy7",0.974137931034483,"M1","BirdNet",12,12,0.458264371126831
"Accuracy8",0.969827586206897,"M1","BirdNet",6,12,0.116095056370025
"Accuracy9",0.991379310344828,"M1","BirdNet",13,12,0.418466107390126
"Accuracy10",0.987068965517241,"M1","BirdNet",6,12,0.119123202264466
"Accuracy11",0.995689655172414,"M1","BirdNet",14,12,0.423551585549149
"Accuracy12",0.982758620689655,"M1","BirdNet",12,12,0.361512613608253
"Accuracy13",0.96551724137931,"M1","BirdNet",10,12,0.377526471984643
"Accuracy14",0.982758620689655,"M1","BirdNet",11,12,0.411533248808246
"Accuracy15",0.987068965517241,"M1","BirdNet",12,12,0.401227682072969
"Accuracy16",0.978448275862069,"M1","BirdNet",13,12,0.420857470518914
"Accuracy17",0.974137931034483,"M1","BirdNet",10,12,0.359234290083459
"Accuracy18",0.991379310344828,"M1","BirdNet",9,12,0.374534098793893
"Accuracy19",0.974137931034483,"M1","BirdNet",12,12,0.42936800558246
"Accuracy20",0.952789699570815,"M2","BirdNet",6,12,0.170171442534389
"Accuracy21",0.96137339055794,"M2","BirdNet",7,12,0.246631527990396
"Accuracy22",0.957081545064378,"M2","BirdNet",11,12,0.308910495929456
"Accuracy23",0.96137339055794,"M2","BirdNet",3,12,0.0376303495086141
"Accuracy24",0.965665236051502,"M2","BirdNet",6,12,0.174844034696587
"Accuracy25",0.974248927038627,"M2","BirdNet",11,12,0.319914073782259
"Accuracy26",0.982832618025751,"M2","BirdNet",9,12,0.272474482966816
"Accuracy27",0.96137339055794,"M2","BirdNet",8,12,0.251796518102286
"Accuracy28",0.978540772532189,"M2","BirdNet",9,12,0.29082928805558
"Accuracy29",0.978540772532189,"M2","BirdNet",5,12,0.14881441449802
"Accuracy30",0.974248927038627,"M2","BirdNet",8,12,0.233113625879506
"Accuracy31",0.974248927038627,"M2","BirdNet",10,12,0.308705922172539
"Accuracy32",0.952789699570815,"M2","BirdNet",4,12,0.0638407129238763
"Accuracy33",0.974248927038627,"M2","BirdNet",8,12,0.256106741568613
"Accuracy34",0.96137339055794,"M2","BirdNet",5,12,0.146948369670297
"Accuracy35",0.969957081545064,"M2","BirdNet",6,12,0.166984278301678
"Accuracy36",0.969957081545064,"M2","BirdNet",8,12,0.219026433359982
"Accuracy37",0.952789699570815,"M2","BirdNet",8,12,0.268398600125155
"Accuracy38",0.96137339055794,"M2","BirdNet",11,12,0.328697923746657
"Accuracy39",0.96137339055794,"M2","BirdNet",10,12,0.306355562460435
"Accuracy40",0.854054054054054,"M3","BirdNet",12,12,0.120027725095744
"Accuracy41",0.848648648648649,"M3","BirdNet",6,12,0.0225439156957839
"Accuracy42",0.854054054054054,"M3","BirdNet",10,12,0.100002038732291
"Accuracy43",0.897297297297297,"M3","BirdNet",5,12,0.0123359632227293
"Accuracy44",0.832432432432432,"M3","BirdNet",13,12,0.139235575801551
"Accuracy45",0.864864864864865,"M3","BirdNet",4,12,0.00933762998830737
"Accuracy46",0.85945945945946,"M3","BirdNet",5,12,0.0109377653659156
"Accuracy47",0.891891891891892,"M3","BirdNet",5,12,0.0114470864768059
"Accuracy48",0.85945945945946,"M3","BirdNet",4,12,0.00941311366656612
"Accuracy49",0.832432432432432,"M3","BirdNet",7,12,0.0236532150208658
"Accuracy50",0.837837837837838,"M3","BirdNet",6,12,0.02057586772618
"Accuracy51",0.854054054054054,"M3","BirdNet",5,12,0.0108121125928155
"Accuracy52",0.816216216216216,"M3","BirdNet",11,12,0.102501744993709
"Accuracy53",0.854054054054054,"M3","BirdNet",6,12,0.0223404745227687
"Accuracy54",0.891891891891892,"M3","BirdNet",12,12,0.12314992040418
"Accuracy55",0.821621621621622,"M3","BirdNet",9,12,0.0982264052594421
"Accuracy56",0.810810810810811,"M3","BirdNet",12,12,0.092622525526408
"Accuracy57",0.843243243243243,"M3","BirdNet",5,12,0.0130488269737371
"Accuracy58",0.854054054054054,"M3","BirdNet",8,12,0.0458714104257442
"Accuracy59",0.816216216216216,"M3","BirdNet",11,12,0.107369617334576
"Accuracy60",0.815315315315315,"M4","BirdNet",10,12,0.0653988543030628
"Accuracy61",0.774774774774775,"M4","BirdNet",12,12,0.0890158119556956
"Accuracy62",0.801801801801802,"M4","BirdNet",11,12,0.0712771717066314
"Accuracy63",0.824324324324324,"M4","BirdNet",12,12,0.0672403260794282
"Accuracy64",0.788288288288288,"M4","BirdNet",9,12,0.0269859190987328
"Accuracy65",0.824324324324324,"M4","BirdNet",14,12,0.0947290861797357
"Accuracy66",0.81981981981982,"M4","BirdNet",9,12,0.0667947813757072
"Accuracy67",0.783783783783784,"M4","BirdNet",12,12,0.0825862689652692
"Accuracy68",0.851351351351351,"M4","BirdNet",9,12,0.0671054792380772
"Accuracy69",0.761261261261261,"M4","BirdNet",11,12,0.0835128245641799
"Accuracy70",0.837837837837838,"M4","BirdNet",10,12,0.0678872830451826
"Accuracy71",0.797297297297297,"M4","BirdNet",10,12,0.070017420831449
"Accuracy72",0.855855855855856,"M4","BirdNet",6,12,0.0199113348761959
"Accuracy73",0.810810810810811,"M4","BirdNet",13,12,0.0970683478947167
"Accuracy74",0.824324324324324,"M4","BirdNet",9,12,0.0561316492410885
"Accuracy75",0.756756756756757,"M4","BirdNet",10,12,0.0776753860386858
"Accuracy76",0.86036036036036,"M4","BirdNet",11,12,0.0683489341043046
"Accuracy77",0.833333333333333,"M4","BirdNet",12,12,0.0877929083784281
"Accuracy78",0.824324324324324,"M4","BirdNet",11,12,0.0833400241666973
"Accuracy79",0.774774774774775,"M4","BirdNet",14,12,0.109663639414833
"Accuracy80",0.377682403433476,"M5","BirdNet",15,12,0.0490789258295047
"Accuracy81",0.446351931330472,"M5","BirdNet",15,12,0.0523028518842732
"Accuracy82",0.373390557939914,"M5","BirdNet",11,12,0.0249713485056301
"Accuracy83",0.381974248927039,"M5","BirdNet",11,12,0.0270041679053676
"Accuracy84",0.386266094420601,"M5","BirdNet",13,12,0.0483750468377312
"Accuracy85",0.420600858369099,"M5","BirdNet",14,12,0.0522452430623433
"Accuracy86",0.44206008583691,"M5","BirdNet",16,12,0.0586204992562748
"Accuracy87",0.386266094420601,"M5","BirdNet",17,12,0.0661298881098046
"Accuracy88",0.44206008583691,"M5","BirdNet",15,12,0.0673704429074078
"Accuracy89",0.40343347639485,"M5","BirdNet",14,12,0.0549270215018324
"Accuracy90",0.437768240343348,"M5","BirdNet",18,12,0.0780970265420478
"Accuracy91",0.390557939914163,"M5","BirdNet",12,12,0.0347774895185652
"Accuracy92",0.377682403433476,"M5","BirdNet",16,12,0.0575596151968921
"Accuracy93",0.416309012875536,"M5","BirdNet",15,12,0.0515899718293705
"Accuracy94",0.351931330472103,"M5","BirdNet",16,12,0.0533200793239211
"Accuracy95",0.407725321888412,"M5","BirdNet",17,12,0.0619678391031088
"Accuracy96",0.433476394849785,"M5","BirdNet",17,12,0.0670512665682935
"Accuracy97",0.412017167381974,"M5","BirdNet",16,12,0.062250626873556
"Accuracy98",0.369098712446352,"M5","BirdNet",15,12,0.062548567203632
"Accuracy99",0.407725321888412,"M5","BirdNet",12,12,0.0450738054692802
"Accuracy100",0.416309012875536,"M6","BirdNet",10,12,0.0224873786501662
"Accuracy101",0.369098712446352,"M6","BirdNet",13,12,0.0338249911836145
"Accuracy102",0.386266094420601,"M6","BirdNet",13,12,0.0402498831723623
"Accuracy103",0.407725321888412,"M6","BirdNet",8,12,0.0175544799744878
"Accuracy104",0.381974248927039,"M6","BirdNet",8,12,0.0132388058531624
"Accuracy105",0.429184549356223,"M6","BirdNet",13,12,0.0414913895824583
