"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.939655172413793,"M1","MFCC",10,12,0.890744875168771
"Accuracy1",0.961206896551724,"M1","MFCC",10,12,0.875627793767705
"Accuracy2",0.952586206896552,"M1","MFCC",11,12,0.882461291162874
"Accuracy3",0.969827586206897,"M1","MFCC",9,12,0.826465348455977
"Accuracy4",0.961206896551724,"M1","MFCC",10,12,0.882540578961581
"Accuracy5",0.974137931034483,"M1","MFCC",9,12,0.818336922515922
"Accuracy6",0.956896551724138,"M1","MFCC",9,12,0.824868301017552
"Accuracy7",0.96551724137931,"M1","MFCC",10,12,0.8755665093447
"Accuracy8",0.987068965517241,"M1","MFCC",9,12,0.823632190544755
"Accuracy9",0.974137931034483,"M1","MFCC",11,12,0.870129052070829
"Accuracy10",0.987068965517241,"M1","MFCC",9,12,0.818173815877072
"Accuracy11",0.974137931034483,"M1","MFCC",9,12,0.823259303637039
"Accuracy12",0.974137931034483,"M1","MFCC",11,12,0.877398765062552
"Accuracy13",0.948275862068966,"M1","MFCC",11,12,0.88032137811596
"Accuracy14",0.978448275862069,"M1","MFCC",10,12,0.87594481378377
"Accuracy15",0.978448275862069,"M1","MFCC",10,12,0.80696653239617
"Accuracy16",0.978448275862069,"M1","MFCC",10,12,0.878107217616602
"Accuracy17",0.952586206896552,"M1","MFCC",10,12,0.82188813903802
"Accuracy18",0.974137931034483,"M1","MFCC",9,12,0.814939373496286
"Accuracy19",0.952586206896552,"M1","MFCC",11,12,0.819609804994476
"Accuracy20",0.901287553648069,"M2","MFCC",11,12,0.873024751333573
"Accuracy21",0.957081545064378,"M2","MFCC",11,12,0.857461056613384
"Accuracy22",0.939914163090129,"M2","MFCC",11,12,0.869682181478849
"Accuracy23",0.969957081545064,"M2","MFCC",11,12,0.861424731888487
"Accuracy24",0.965665236051502,"M2","MFCC",11,12,0.873109873919004
"Accuracy25",0.948497854077253,"M2","MFCC",11,12,0.844589297810204
"Accuracy26",0.965665236051502,"M2","MFCC",11,12,0.844138308378864
"Accuracy27",0.939914163090129,"M2","MFCC",12,12,0.87845171550088
"Accuracy28",0.974248927038627,"M2","MFCC",11,12,0.857813851482021
"Accuracy29",0.957081545064378,"M2","MFCC",11,12,0.85629710190744
"Accuracy30",0.969957081545064,"M2","MFCC",11,12,0.85506815263401
"Accuracy31",0.978540772532189,"M2","MFCC",12,12,0.856077953058796
"Accuracy32",0.952789699570815,"M2","MFCC",9,12,0.814617925550087
"Accuracy33",0.969957081545064,"M2","MFCC",11,12,0.839196222504404
"Accuracy34",0.957081545064378,"M2","MFCC",11,12,0.816378609381658
"Accuracy35",0.939914163090129,"M2","MFCC",12,12,0.853617304276336
"Accuracy36",0.957081545064378,"M2","MFCC",9,12,0.806995863498887
"Accuracy37",0.939914163090129,"M2","MFCC",11,12,0.867147418204676
"Accuracy38",0.952789699570815,"M2","MFCC",11,12,0.814409519433717
"Accuracy39",0.957081545064378,"M2","MFCC",10,12,0.813932183942647
"Accuracy40",0.870689655172414,"M3","MFCC",12,12,0.621786462162063
"Accuracy41",0.866379310344828,"M3","MFCC",12,12,0.603533505873946
"Accuracy42",0.866379310344828,"M3","MFCC",9,12,0.566830282773063
"Accuracy43",0.870689655172414,"M3","MFCC",8,12,0.530339254838187
"Accuracy44",0.931034482758621,"M3","MFCC",10,12,0.506328551573631
"Accuracy45",0.879310344827586,"M3","MFCC",11,12,0.587467685418179
"Accuracy46",0.887931034482759,"M3","MFCC",11,12,0.547920248411068
"Accuracy47",0.905172413793103,"M3","MFCC",3,12,0.160363555477432
"Accuracy48",0.905172413793103,"M3","MFCC",13,12,0.618802922423902
"Accuracy49",0.883620689655172,"M3","MFCC",11,12,0.563716519224234
"Accuracy50",0.918103448275862,"M3","MFCC",13,12,0.608738910269519
"Accuracy51",0.866379310344828,"M3","MFCC",7,12,0.411447112558443
"Accuracy52",0.879310344827586,"M3","MFCC",5,12,0.209156236802731
"Accuracy53",0.887931034482759,"M3","MFCC",13,12,0.602007085521066
"Accuracy54",0.870689655172414,"M3","MFCC",10,12,0.539984743337226
"Accuracy55",0.883620689655172,"M3","MFCC",12,12,0.607455989746761
"Accuracy56",0.896551724137931,"M3","MFCC",12,12,0.58584082135145
"Accuracy57",0.883620689655172,"M3","MFCC",13,12,0.640577239930276
"Accuracy58",0.870689655172414,"M3","MFCC",13,12,0.609474754687992
"Accuracy59",0.853448275862069,"M3","MFCC",13,12,0.615628498484154
"Accuracy60",0.759656652360515,"M4","MFCC",13,12,0.382394351856919
"Accuracy61",0.815450643776824,"M4","MFCC",11,12,0.345821834235381
"Accuracy62",0.789699570815451,"M4","MFCC",13,12,0.368142314805476
"Accuracy63",0.828326180257511,"M4","MFCC",14,12,0.347786428072061
"Accuracy64",0.811158798283262,"M4","MFCC",14,12,0.373727848014171
"Accuracy65",0.854077253218884,"M4","MFCC",12,12,0.340799206069176
"Accuracy66",0.828326180257511,"M4","MFCC",14,12,0.397005146275644
"Accuracy67",0.781115879828326,"M4","MFCC",12,12,0.364091508703306
"Accuracy68",0.824034334763948,"M4","MFCC",13,12,0.373959104028577
"Accuracy69",0.828326180257511,"M4","MFCC",15,12,0.388402416930975
"Accuracy70",0.854077253218884,"M4","MFCC",2,12,0.0490162226994833
"Accuracy71",0.785407725321888,"M4","MFCC",12,12,0.306765986736935
"Accuracy72",0.772532188841202,"M4","MFCC",14,12,0.376877053163018
"Accuracy73",0.824034334763948,"M4","MFCC",13,12,0.363315197477364
"Accuracy74",0.776824034334764,"M4","MFCC",2,12,0.0298263538483084
"Accuracy75",0.815450643776824,"M4","MFCC",14,12,0.377072103912264
"Accuracy76",0.763948497854077,"M4","MFCC",12,12,0.362021481068037
"Accuracy77",0.789699570815451,"M4","MFCC",13,12,0.370360498927559
"Accuracy78",0.819742489270386,"M4","MFCC",10,12,0.330022514121848
"Accuracy79",0.8068669527897,"M4","MFCC",14,12,0.381659261358725
"Accuracy80",0.587982832618026,"M5","MFCC",9,12,0.0553585652694235
"Accuracy81",0.562231759656652,"M5","MFCC",9,12,0.059354732580461
"Accuracy82",0.553648068669528,"M5","MFCC",6,12,0.0509226708539932
"Accuracy83",0.536480686695279,"M5","MFCC",6,12,0.0324912432439246
"Accuracy84",0.515021459227468,"M5","MFCC",7,12,0.0375936885410974
"Accuracy85",0.587982832618026,"M5","MFCC",6,12,0.0200978958825623
"Accuracy86",0.549356223175966,"M5","MFCC",7,12,0.0449040555969059
"Accuracy87",0.502145922746781,"M5","MFCC",7,12,0.0461123171750239
"Accuracy88",0.592274678111588,"M5","MFCC",6,12,0.0336319916171074
"Accuracy89",0.575107296137339,"M5","MFCC",15,12,0.121220354016588
"Accuracy90",0.583690987124464,"M5","MFCC",6,12,0.0371490593907279
"Accuracy91",0.502145922746781,"M5","MFCC",8,12,0.0481654307054722
"Accuracy92",0.51931330472103,"M5","MFCC",9,12,0.0602667439436976
"Accuracy93",0.51931330472103,"M5","MFCC",13,12,0.0822280657101124
"Accuracy94",0.583690987124464,"M5","MFCC",7,12,0.0204211709355101
"Accuracy95",0.566523605150215,"M5","MFCC",4,12,0.0074518097613319
"Accuracy96",0.575107296137339,"M5","MFCC",7,12,0.0553472673240449
"Accuracy97",0.527896995708155,"M5","MFCC",5,12,0.0427978690707868
"Accuracy98",0.532188841201717,"M5","MFCC",7,12,0.0339542561738906
"Accuracy99",0.515021459227468,"M5","MFCC",6,12,0.0247341273263421
"Accuracy100",0.502145922746781,"M6","MFCC",14,12,0.102946504425241
"Accuracy101",0.493562231759657,"M6","MFCC",11,12,0.0509028034452098
"Accuracy102",0.459227467811159,"M6","MFCC",2,12,0.0016205050052566
"Accuracy103",0.420600858369099,"M6","MFCC",12,12,0.0809653679340838
"Accuracy104",0.454935622317597,"M6","MFCC",14,12,0.11191528444924
"Accuracy105",0.44206008583691,"M6","MFCC",15,12,0.0954399885770047
"Accuracy106",0.467811158798283,"M6","MFCC",3,12,0.00822563820042183
"Accuracy107",0.44206008583691,"M6","MFCC",12,12,0.0566408332755126
"Accuracy108",0.467811158798283,"M6","MFCC",14,12,0.0988581023895999
"Accuracy109",0.515021459227468,"M6","MFCC",14,12,0.116205703405604
"Accuracy110",0.510729613733906,"M6","MFCC",14,12,0.0983639472950439
"Accuracy111",0.467811158798283,"M6","MFCC",14,12,0.0749640905166861
"Accuracy112",0.433476394849785,"M6","MFCC",2,12,0.00290189304127522
"Accuracy113",0.476394849785408,"M6","MFCC",2,12,0.00119810090832969
"Accuracy114",0.489270386266094,"M6","MFCC",2,12,0.00115150378645139
"Accuracy115",0.536480686695279,"M6","MFCC",3,12,0.00281065293666976
"Accuracy116",0.459227467811159,"M6","MFCC",13,12,0.068904112401785
"Accuracy117",0.493562231759657,"M6","MFCC",15,12,0.0987194287361675
"Accuracy118",0.472103004291845,"M6","MFCC",2,12,0.00217423194383911
"Accuracy119",0.463519313304721,"M6","MFCC",13,12,0.0657073015598755
"Accuracy120",0.40990990990991,"M7","MFCC",5,12,0.0255091798347215
"Accuracy121",0.40990990990991,"M7","MFCC",7,12,0.0301129277958556
"Accuracy122",0.40990990990991,"M7","MFCC",3,12,0.00580013678741928
"Accuracy123",0.351351351351351,"M7","MFCC",7,12,0.0291746332949998
"Accuracy124",0.40990990990991,"M7","MFCC",6,12,0.025589136380192
"Accuracy125",0.400900900900901,"M7","MFCC",10,12,0.0627170995571826
"Accuracy126",0.504504504504504,"M7","MFCC",2,12,0.00166486389276265
"Accuracy127",0.418918918918919,"M7","MFCC",5,12,0.013476675859347
"Accuracy128",0.369369369369369,"M7","MFCC",7,12,0.0328858192328507
"Accuracy129",0.423423423423423,"M7","MFCC",7,12,0.0231102106754775
"Accuracy130",0.382882882882883,"M7","MFCC",9,12,0.0356440271907674
"Accuracy131",0.297297297297297,"M7","MFCC",9,12,0.0742383231360361
"Accuracy132",0.454954954954955,"M7","MFCC",7,12,0.0271545718103232
"Accuracy133",0.432432432432432,"M7","MFCC",7,12,0.028883561196059
"Accuracy134",0.346846846846847,"M7","MFCC",7,12,0.0390239095271463
"Accuracy135",0.369369369369369,"M7","MFCC",3,12,0.0084679117650356
"Accuracy136",0.427927927927928,"M7","MFCC",7,12,0.0319961739013378
"Accuracy137",0.400900900900901,"M7","MFCC",7,12,0.0351976784734186
"Accuracy138",0.369369369369369,"M7","MFCC",7,12,0.0232623120412028
"Accuracy139",0.373873873873874,"M7","MFCC",4,12,0.0236338706586437
