"","AccuracyVal","Recorder","Features","N.cluster","N.Individual","NMI.val"
"Accuracy",0.745689655172414,"M1","VGGish",3,12,0.0155349461141405
"Accuracy1",0.75,"M1","VGGish",11,12,0.135294261945797
"Accuracy2",0.693965517241379,"M1","VGGish",10,12,0.102585227009392
"Accuracy3",0.767241379310345,"M1","VGGish",11,12,0.131884063097887
"Accuracy4",0.71551724137931,"M1","VGGish",11,12,0.126921401371255
"Accuracy5",0.737068965517241,"M1","VGGish",3,12,0.0124259272063664
"Accuracy6",0.767241379310345,"M1","VGGish",10,12,0.123142383078339
"Accuracy7",0.745689655172414,"M1","VGGish",13,12,0.16312700296874
"Accuracy8",0.728448275862069,"M1","VGGish",10,12,0.10617794613216
"Accuracy9",0.758620689655172,"M1","VGGish",13,12,0.152167179391129
"Accuracy10",0.801724137931034,"M1","VGGish",10,12,0.124545014378496
"Accuracy11",0.754310344827586,"M1","VGGish",10,12,0.14139716900999
"Accuracy12",0.741379310344828,"M1","VGGish",5,12,0.0500651260075331
"Accuracy13",0.698275862068966,"M1","VGGish",10,12,0.110520704227051
"Accuracy14",0.737068965517241,"M1","VGGish",11,12,0.118169747212621
"Accuracy15",0.698275862068966,"M1","VGGish",13,12,0.151914397726353
"Accuracy16",0.780172413793103,"M1","VGGish",12,12,0.148693831864468
"Accuracy17",0.693965517241379,"M1","VGGish",9,12,0.116879103901828
"Accuracy18",0.775862068965517,"M1","VGGish",11,12,0.11764221647976
"Accuracy19",0.728448275862069,"M1","VGGish",9,12,0.116498311360585
"Accuracy20",0.75107296137339,"M2","VGGish",6,12,0.0871505224760695
"Accuracy21",0.76824034334764,"M2","VGGish",2,12,0.00266869936178888
"Accuracy22",0.742489270386266,"M2","VGGish",2,12,0.00138901120691616
"Accuracy23",0.772532188841202,"M2","VGGish",2,12,0.00229068557837369
"Accuracy24",0.76824034334764,"M2","VGGish",2,12,0.00192758896962421
"Accuracy25",0.772532188841202,"M2","VGGish",2,12,0.00226768028409136
"Accuracy26",0.789699570815451,"M2","VGGish",2,12,0.00249371887579552
"Accuracy27",0.729613733905579,"M2","VGGish",2,12,0.00238062436411717
"Accuracy28",0.8068669527897,"M2","VGGish",2,12,0.001817638405099
"Accuracy29",0.746781115879828,"M2","VGGish",2,12,0.00126269774150321
"Accuracy30",0.776824034334764,"M2","VGGish",2,12,0.00143520012680166
"Accuracy31",0.785407725321888,"M2","VGGish",6,12,0.0942688044348925
"Accuracy32",0.716738197424893,"M2","VGGish",2,12,0.00169287678896708
"Accuracy33",0.75107296137339,"M2","VGGish",2,12,0.0010702009825172
"Accuracy34",0.776824034334764,"M2","VGGish",2,12,0.00200452962438139
"Accuracy35",0.742489270386266,"M2","VGGish",2,12,0.00132865549769724
"Accuracy36",0.776824034334764,"M2","VGGish",2,12,0.00264425620880034
"Accuracy37",0.763948497854077,"M2","VGGish",2,12,0.00229091375925817
"Accuracy38",0.802575107296137,"M2","VGGish",2,12,0.00165586827943879
"Accuracy39",0.755364806866953,"M2","VGGish",2,12,0.00137899918200042
"Accuracy40",0.46551724137931,"M3","VGGish",2,12,0.00213581649261323
"Accuracy41",0.521551724137931,"M3","VGGish",8,12,0.0179400912952464
"Accuracy42",0.46551724137931,"M3","VGGish",6,12,0.0131164014464509
"Accuracy43",0.469827586206897,"M3","VGGish",7,12,0.0228103240108343
"Accuracy44",0.469827586206897,"M3","VGGish",2,12,0.00200167678808873
"Accuracy45",0.538793103448276,"M3","VGGish",10,12,0.0258421887979238
"Accuracy46",0.560344827586207,"M3","VGGish",10,12,0.0428298649595462
"Accuracy47",0.5,"M3","VGGish",7,12,0.0114446525217182
"Accuracy48",0.512931034482759,"M3","VGGish",10,12,0.0402731639571933
"Accuracy49",0.469827586206897,"M3","VGGish",6,12,0.0207331431595559
"Accuracy50",0.547413793103448,"M3","VGGish",7,12,0.0112135912630293
"Accuracy51",0.474137931034483,"M3","VGGish",10,12,0.0295422188415452
"Accuracy52",0.491379310344828,"M3","VGGish",10,12,0.0361939401405001
"Accuracy53",0.469827586206897,"M3","VGGish",9,12,0.0291646325654576
"Accuracy54",0.431034482758621,"M3","VGGish",9,12,0.0263453689328899
"Accuracy55",0.469827586206897,"M3","VGGish",10,12,0.0280512547325901
"Accuracy56",0.422413793103448,"M3","VGGish",2,12,0.00154710868092464
"Accuracy57",0.474137931034483,"M3","VGGish",12,12,0.0515590898286008
"Accuracy58",0.478448275862069,"M3","VGGish",7,12,0.013689821163467
"Accuracy59",0.452586206896552,"M3","VGGish",9,12,0.0324511687404621
"Accuracy60",0.44206008583691,"M4","VGGish",4,12,0.00916387162612363
"Accuracy61",0.510729613733906,"M4","VGGish",10,12,0.0438679565829222
"Accuracy62",0.407725321888412,"M4","VGGish",3,12,0.00815856348643375
"Accuracy63",0.497854077253219,"M4","VGGish",7,12,0.0196426024594978
"Accuracy64",0.484978540772532,"M4","VGGish",7,12,0.0241690528464611
"Accuracy65",0.510729613733906,"M4","VGGish",6,12,0.0204684520293993
"Accuracy66",0.48068669527897,"M4","VGGish",3,12,0.00786113654486454
"Accuracy67",0.523605150214592,"M4","VGGish",7,12,0.0203359093479613
"Accuracy68",0.459227467811159,"M4","VGGish",7,12,0.0209150458652654
"Accuracy69",0.502145922746781,"M4","VGGish",7,12,0.0204696539852368
"Accuracy70",0.562231759656652,"M4","VGGish",8,12,0.0279431798030044
"Accuracy71",0.399141630901288,"M4","VGGish",5,12,0.011092838752995
"Accuracy72",0.493562231759657,"M4","VGGish",7,12,0.0259766701851322
"Accuracy73",0.446351931330472,"M4","VGGish",4,12,0.0117167806631528
"Accuracy74",0.476394849785408,"M4","VGGish",7,12,0.0195511134591015
"Accuracy75",0.493562231759657,"M4","VGGish",7,12,0.0244197743111631
"Accuracy76",0.476394849785408,"M4","VGGish",7,12,0.0256083360140073
"Accuracy77",0.424892703862661,"M4","VGGish",6,12,0.0195630428351236
"Accuracy78",0.454935622317597,"M4","VGGish",10,12,0.0521604174730423
"Accuracy79",0.44206008583691,"M4","VGGish",6,12,0.0197081329721699
"Accuracy80",0.347639484978541,"M5","VGGish",8,12,0.0269862652041048
"Accuracy81",0.321888412017167,"M5","VGGish",16,12,0.0627401728901655
"Accuracy82",0.266094420600858,"M5","VGGish",8,12,0.037601192635673
"Accuracy83",0.313304721030043,"M5","VGGish",2,12,0.00240023077088594
"Accuracy84",0.274678111587983,"M5","VGGish",4,12,0.0134137683080755
"Accuracy85",0.266094420600858,"M5","VGGish",2,12,0.00100482592056356
"Accuracy86",0.304721030042918,"M5","VGGish",16,12,0.056895424650244
