"great.call","SNR.dB","recorder","wavname"
"M7_20190823_060003_DK_02_021.01_snr12.09",-1.27299494633286,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_02_021.01_snr12.09.wav"
"M7_20190823_060003_DK_02_021.02_snr12.55",-2.91197849305402,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_02_021.02_snr12.55.wav"
"M7_20190823_060003_DK_02_021.03_snr12.06",-1.56321016286322,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_02_021.03_snr12.06.wav"
"M7_20190823_060003_DK_02_021.04_snr13.45",-1.95956454440133,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_02_021.04_snr13.45.wav"
"M7_20190823_060003_DK_02_021.05_snr13.65",-5.02951809874486,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_02_021.05_snr13.65.wav"
"M7_20190823_060003_DK_07_045.01_snr13.16",-3.0337646836401,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_07_045.01_snr13.16.wav"
"M7_20190823_060003_DK_07_045.02_snr11.86",9.89926688865047,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_07_045.02_snr11.86.wav"
"M7_20190823_060003_DK_07_045.03_snr12.45",-1.85221628872683,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_07_045.03_snr12.45.wav"
"M7_20190823_060003_DK_07_045.04_snr11.53",-7.64171168826954,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_07_045.04_snr11.53.wav"
"M7_20190823_060003_DK_07_045.05_snr13.24",-5.14152825685612,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_07_045.05_snr13.24.wav"
"M7_20190823_060003_DK_09_030.01_snr13.75",-2.08132512875044,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_09_030.01_snr13.75.wav"
"M7_20190823_060003_DK_09_030.02_snr15.47",-0.673517623366448,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_09_030.02_snr15.47.wav"
"M7_20190823_060003_DK_09_030.03_snr19.53",0.784298023074617,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_09_030.03_snr19.53.wav"
"M7_20190823_060003_DK_09_030.04_snr16.36",0.979321380022918,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_09_030.04_snr16.36.wav"
"M7_20190823_060003_DK_09_030.05_snr23.04",2.34102278406738,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DK_09_030.05_snr23.04.wav"
"M7_20190823_060003_DV_15_013.01_snr21.43",1.23272737400711,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_15_013.01_snr21.43.wav"
"M7_20190823_060003_DV_15_013.02_snr21.87",0.0259442108188722,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_15_013.02_snr21.87.wav"
"M7_20190823_060003_DV_15_013.03_snr23.95",1.53932917012273,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_15_013.03_snr23.95.wav"
"M7_20190823_060003_DV_15_013.04_snr20.72",1.38710197856132,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_15_013.04_snr20.72.wav"
"M7_20190823_060003_DV_15_013.05_snr20.68",2.71444535186584,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_15_013.05_snr20.68.wav"
"M7_20190823_060003_DV_17_012.01_snr16.27",5.90817550758787,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_17_012.01_snr16.27.wav"
"M7_20190823_060003_DV_17_012.02_snr16.05",-0.320897667488997,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_17_012.02_snr16.05.wav"
"M7_20190823_060003_DV_17_012.03_snr21.37",9.87972177368134,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_17_012.03_snr21.37.wav"
"M7_20190823_060003_DV_17_012.04_snr15.52",3.15598223905611,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_17_012.04_snr15.52.wav"
"M7_20190823_060003_DV_17_012.05_snr14.53",4.15687901937556,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_17_012.05_snr14.53.wav"
"M7_20190823_060003_DV_19_014.01_snr12.16",10.0183295769833,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_19_014.01_snr12.16.wav"
"M7_20190823_060003_DV_19_014.02_snr14.26",3.69322793397255,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_19_014.02_snr14.26.wav"
"M7_20190823_060003_DV_19_014.03_snr12.84",9.49121270961172,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_19_014.03_snr12.84.wav"
"M7_20190823_060003_DV_19_014.04_snr24.83",6.31404056824338,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_19_014.04_snr24.83.wav"
"M7_20190823_060003_DV_19_014.05_snr14.18",2.53486992161319,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_DV_19_014.05_snr14.18.wav"
"M7_20190823_060003_IC_02_041.01_snr21.37",7.59875682029205,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_02_041.01_snr21.37.wav"
"M7_20190823_060003_IC_02_041.02_snr15.47",4.44955697828653,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_02_041.02_snr15.47.wav"
"M7_20190823_060003_IC_02_041.03_snr20.9",7.5736336476213,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_02_041.03_snr20.9.wav"
"M7_20190823_060003_IC_02_041.04_snr17.43",5.21752820212568,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_02_041.04_snr17.43.wav"
"M7_20190823_060003_IC_02_041.06_snr23.85",7.92684414773114,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_02_041.06_snr23.85.wav"
"M7_20190823_060003_IC_07_055.01_snr14",6.01636219878553,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_07_055.01_snr14.wav"
"M7_20190823_060003_IC_07_055.02_snr17.68",3.5495358377593,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_07_055.02_snr17.68.wav"
"M7_20190823_060003_IC_07_055.03_snr23.4",8.42961829080626,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_07_055.03_snr23.4.wav"
"M7_20190823_060003_IC_07_055.04_snr18.4",7.93722938645915,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_07_055.04_snr18.4.wav"
"M7_20190823_060003_IC_07_055.05_snr13.47",-1.94284580082985,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_07_055.05_snr13.47.wav"
"M7_20190823_060003_IC_08_018.01_snr13.67",-1.61453507103236,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_08_018.01_snr13.67.wav"
"M7_20190823_060003_IC_08_018.02_snr18.41",14.0496829561635,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_08_018.02_snr18.41.wav"
"M7_20190823_060003_IC_08_018.03_snr22.05",13.0570244428045,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_08_018.03_snr22.05.wav"
"M7_20190823_060003_IC_08_018.04_snr13.1",-2.13872571733569,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_08_018.04_snr13.1.wav"
"M7_20190823_060003_IC_08_018.05_snr15.16",3.31477359993263,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_IC_08_018.05_snr15.16.wav"
"M7_20190823_060003_MB_01_564.01_snr19.83",12.5418983484141,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.01_snr19.83.wav"
"M7_20190823_060003_MB_01_564.02_snr14.19",-1.54356842187394,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.02_snr14.19.wav"
"M7_20190823_060003_MB_01_564.03_snr16.36",4.22590235134867,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.03_snr16.36.wav"
"M7_20190823_060003_MB_01_564.04_snr21.74",11.7436083359359,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.04_snr21.74.wav"
"M7_20190823_060003_MB_01_564.05_snr14.54",-2.44569438990925,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_01_564.05_snr14.54.wav"
"M7_20190823_060003_MB_05_109.01_snr12.17",-3.39710150206223,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.01_snr12.17.wav"
"M7_20190823_060003_MB_05_109.02_snr12.25",-0.17296163265547,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.02_snr12.25.wav"
"M7_20190823_060003_MB_05_109.03_snr12.77",-1.27943820394187,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.03_snr12.77.wav"
"M7_20190823_060003_MB_05_109.04_snr13",-2.177528149528,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.04_snr13.wav"
"M7_20190823_060003_MB_05_109.05_snr12.46",-0.657153105532912,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_05_109.05_snr12.46.wav"
"M7_20190823_060003_MB_06_110.01_snr12.63",-2.38946801836684,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.01_snr12.63.wav"
"M7_20190823_060003_MB_06_110.02_snr12.52",-5.74846218920952,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.02_snr12.52.wav"
"M7_20190823_060003_MB_06_110.03_snr11.67",-3.61942211486406,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.03_snr11.67.wav"
"M7_20190823_060003_MB_06_110.04_snr13.21",-3.58281340117231,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.04_snr13.21.wav"
"M7_20190823_060003_MB_06_110.05_snr14.24",-5.46406969403735,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_060003_MB_06_110.05_snr14.24.wav"
"M7_20190823_072004_DK_02_021.01_snr13.43",-5.65094268652333,"M7","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M7_20190823_072004_DK_02_021.01_snr13.43.wav"
